disease,category,severity,text_chunk,chunk_length
Acute Respiratory Syndrome 1,Infectious,Low,"Disease: Acute Respiratory Syndrome 1
Description: Acute Respiratory Syndrome 1 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Organ dysfunction
Clinical Management: ",336
Chronic Respiratory Syndrome 2,Cardiovascular,Moderate,"Disease: Chronic Respiratory Syndrome 2
Description: Chronic Respiratory Syndrome 2 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Secondary infection
Clinical Management: ",362
Autoimmune Respiratory Syndrome 3,Neurology,High,"Disease: Autoimmune Respiratory Syndrome 3
Description: Autoimmune Respiratory Syndrome 3 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Inflammation complications
Clinical Management: ",372
Idiopathic Respiratory Syndrome 4,Endocrine,Critical,"Disease: Idiopathic Respiratory Syndrome 4
Description: Idiopathic Respiratory Syndrome 4 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Metabolic imbalance
Clinical Management: ",354
Primary Respiratory Syndrome 5,Respiratory,Low,"Disease: Primary Respiratory Syndrome 5
Description: Primary Respiratory Syndrome 5 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Neurological complications
Clinical Management: ",355
Secondary Respiratory Syndrome 6,GI,Moderate,"Disease: Secondary Respiratory Syndrome 6
Description: Secondary Respiratory Syndrome 6 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Organ dysfunction
Clinical Management: ",350
Progressive Respiratory Syndrome 7,Renal,High,"Disease: Progressive Respiratory Syndrome 7
Description: Progressive Respiratory Syndrome 7 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Secondary infection
Clinical Management: ",365
Congenital Respiratory Syndrome 8,Autoimmune,Critical,"Disease: Congenital Respiratory Syndrome 8
Description: Congenital Respiratory Syndrome 8 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Inflammation complications
Clinical Management: ",366
Inflammatory Respiratory Syndrome 9,Infectious,Low,"Disease: Inflammatory Respiratory Syndrome 9
Description: Inflammatory Respiratory Syndrome 9 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Metabolic imbalance
Clinical Management: ",352
Metabolic Respiratory Syndrome 10,Cardiovascular,Moderate,"Disease: Metabolic Respiratory Syndrome 10
Description: Metabolic Respiratory Syndrome 10 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Neurological complications
Clinical Management: ",375
Acute Cardiac Syndrome 11,Neurology,High,"Disease: Acute Cardiac Syndrome 11
Description: Acute Cardiac Syndrome 11 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Organ dysfunction
Clinical Management: ",347
Chronic Cardiac Syndrome 12,Endocrine,Critical,"Disease: Chronic Cardiac Syndrome 12
Description: Chronic Cardiac Syndrome 12 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Secondary infection
Clinical Management: ",342
Autoimmune Cardiac Syndrome 13,Respiratory,Low,"Disease: Autoimmune Cardiac Syndrome 13
Description: Autoimmune Cardiac Syndrome 13 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Inflammation complications
Clinical Management: ",355
Idiopathic Cardiac Syndrome 14,GI,Moderate,"Disease: Idiopathic Cardiac Syndrome 14
Description: Idiopathic Cardiac Syndrome 14 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Metabolic imbalance
Clinical Management: ",348
Primary Cardiac Syndrome 15,Renal,High,"Disease: Primary Cardiac Syndrome 15
Description: Primary Cardiac Syndrome 15 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Neurological complications
Clinical Management: ",358
Secondary Cardiac Syndrome 16,Autoimmune,Critical,"Disease: Secondary Cardiac Syndrome 16
Description: Secondary Cardiac Syndrome 16 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Organ dysfunction
Clinical Management: ",349
Progressive Cardiac Syndrome 17,Infectious,Low,"Disease: Progressive Cardiac Syndrome 17
Description: Progressive Cardiac Syndrome 17 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Secondary infection
Clinical Management: ",344
Congenital Cardiac Syndrome 18,Cardiovascular,Moderate,"Disease: Congenital Cardiac Syndrome 18
Description: Congenital Cardiac Syndrome 18 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Inflammation complications
Clinical Management: ",369
Inflammatory Cardiac Syndrome 19,Neurology,High,"Disease: Inflammatory Cardiac Syndrome 19
Description: Inflammatory Cardiac Syndrome 19 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Metabolic imbalance
Clinical Management: ",363
Metabolic Cardiac Syndrome 20,Endocrine,Critical,"Disease: Metabolic Cardiac Syndrome 20
Description: Metabolic Cardiac Syndrome 20 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Neurological complications
Clinical Management: ",353
Acute Neurological Syndrome 21,Respiratory,Low,"Disease: Acute Neurological Syndrome 21
Description: Acute Neurological Syndrome 21 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Organ dysfunction
Clinical Management: ",346
Chronic Neurological Syndrome 22,GI,Moderate,"Disease: Chronic Neurological Syndrome 22
Description: Chronic Neurological Syndrome 22 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Disease Progression: Progressive condition needing monitoring
Common Complications: Secondary infection
Clinical Management: ",352
Autoimmune Neurological Syndrome 23,Renal,High,"Disease: Autoimmune Neurological Syndrome 23
Description: Autoimmune Neurological Syndrome 23 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Disease Progression: Chronic condition requiring long-term management
Common Complications: Inflammation complications
Clinical Management: ",374
Idiopathic Neurological Syndrome 24,Autoimmune,Critical,"Disease: Idiopathic Neurological Syndrome 24
Description: Idiopathic Neurological Syndrome 24 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Disease Progression: Potentially severe if untreated
Common Complications: Metabolic imbalance
Clinical Management: ",363
Primary Neurological Syndrome 25,Infectious,Low,"Disease: Primary Neurological Syndrome 25
Description: Primary Neurological Syndrome 25 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Disease Progression: Acute onset may resolve with care
Common Complications: Neurological complications
Clinical Management: ",353
