drug,disease,dosage,side_effects,contraindications,drug_category,general_precaution,administration_route,population_group,risk_level,disclaimer,temporal_severity_score
400,Fever,10,Nausea,Severe Liver Disease,0,8,1,0,1,1,1.0
297,Pain,7,Gi Upset,Peptic Ulcer,8,1,1,2,2,2,1.0
1,Bacterial Infection,10,Rash,Penicillin Allergy,1,9,1,1,3,2,1.0
349,Type 2 Diabetes,10,Diarrhea,Renal Failure,2,3,1,0,4,2,1.0
0,Hypertension,8,Edema,Severe Hypotension,3,2,1,2,1,2,1.0
450,Asthma,3,Tremor,Arrhythmia,5,7,0,1,2,0,1.0
399,Gerd,4,Headache,Hypersensitivity,9,6,1,0,3,1,1.0
348,Hypertension,9,Dizziness,Pregnancy,4,4,1,2,4,2,1.0
298,Diabetes,0,Hypoglycemia,Dose Errors,7,5,2,1,1,0,1.0
2,Respiratory Infection,10,Nausea,Qt Prolongation,1,0,1,0,2,2,1.0
145,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,2,3,2,1.0
343,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,1,4,2,1.0
194,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,0,1,2,1.0
243,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,2,2,2,1.0
445,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,1,3,2,1.0
495,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,0,4,2,1.0
394,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,2,1,2,1.0
96,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,1,2,2,1.0
47,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,0,3,2,1.0
292,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,2,4,2,1.0
116,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,1,1,2,1.0
314,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,0,2,2,1.0
165,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,2,3,2,1.0
214,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,1,4,2,1.0
416,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,0,1,2,1.0
466,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,2,2,2,1.0
365,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,1,3,2,1.0
67,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,0,4,2,1.0
18,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,2,1,2,1.0
263,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,1,2,2,1.0
106,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,0,3,2,1.0
304,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,2,4,2,1.0
155,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,1,1,2,1.0
204,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,0,2,2,1.0
406,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,2,3,2,1.0
456,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,1,4,2,1.0
355,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,0,1,2,1.0
57,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,2,2,2,1.0
8,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,1,3,2,1.0
253,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,0,4,2,1.0
101,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,2,1,2,1.0
299,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,1,2,2,1.0
150,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,0,3,2,1.0
199,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,2,4,2,1.0
401,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,1,1,2,1.0
451,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,0,2,2,1.0
350,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,2,3,2,1.0
52,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,1,4,2,1.0
3,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,0,1,2,1.0
248,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,2,2,2,1.0
140,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,1,3,2,1.0
338,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,0,4,2,1.0
189,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,2,1,2,1.0
238,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,1,2,2,1.0
440,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,0,3,2,1.0
490,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,2,4,2,1.0
389,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,1,1,2,1.0
91,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,0,2,2,1.0
42,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,2,3,2,1.0
287,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,1,4,2,1.0
131,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,0,1,2,1.0
329,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,2,2,2,1.0
180,General Disorder,2,Varied Mild Effects,See Clinician,6,10,1,1,3,2,1.0
229,General Disorder,5,Varied Mild Effects,See Clinician,6,10,1,0,4,2,1.0
431,General Disorder,6,Varied Mild Effects,See Clinician,6,10,1,2,1,2,1.0
481,General Disorder,9,Varied Mild Effects,See Clinician,6,10,1,1,2,2,1.0
380,General Disorder,1,Varied Mild Effects,See Clinician,6,10,1,0,3,2,1.0
