Disease,Description,Cause,Category,Severity,Disease_Progression,Common_Complications,Clinical_Management
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Rapid acute progression if untreated,Stroke risk,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Sepsis,Hospitalization may be needed in severe cases
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Early mild symptoms progressing to severe complications,Sepsis,Medication and lifestyle management
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Low,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Hospitalization may be needed in severe cases
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Medium,Progressive organ involvement over time,Kidney failure,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Rapid acute progression if untreated,Kidney failure,Medication and lifestyle management
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,High,Early mild symptoms progressing to severe complications,Sepsis,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Rapid acute progression if untreated,Kidney failure,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Progressive organ involvement over time,Sepsis,Hospitalization may be needed in severe cases
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,High,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Supportive care and monitoring
Flu,Viral infection,Virus,Respiratory,Medium,Rapid acute progression if untreated,Sepsis,Medication and lifestyle management
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Rapid acute progression if untreated,Neurological complications,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Rapid acute progression if untreated,Stroke risk,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Rapid acute progression if untreated,Stroke risk,Early diagnosis improves prognosis
Flu,Viral infection,Virus,Respiratory,Medium,Early mild symptoms progressing to severe complications,Secondary infection,Requires periodic follow-up
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Low,Gradual progression with chronic manifestations,Secondary infection,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Progressive organ involvement over time,Organ damage,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Hospitalization may be needed in severe cases
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Critical,Rapid acute progression if untreated,Stroke risk,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Critical,Early mild symptoms progressing to severe complications,Respiratory failure,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Progressive organ involvement over time,Sepsis,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Progressive organ involvement over time,Organ damage,Requires periodic follow-up
Flu,Viral infection,Virus,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Organ damage,Hospitalization may be needed in severe cases
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Hospitalization may be needed in severe cases
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Early mild symptoms progressing to severe complications,Sepsis,Early diagnosis improves prognosis
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Medium,Early mild symptoms progressing to severe complications,Stroke risk,Hospitalization may be needed in severe cases
