symptom,duration,interpretation,risk_level,clinical_category,emergency_flag
Fever,< 1 Day,Acute Condition Likely,Medium,Respiratory,Yes
Fever,< 1 Day,Possible Infection,High,Cardiac,No
Fever,< 1 Day,Monitor Symptoms,Critical,Neurological,Yes
Fever,< 1 Day,Requires Clinical Evaluation,Low,Gi,No
Fever,< 1 Day,Chronic Condition Suspected,Medium,General,Yes
Fever,< 1 Day,Emergency Evaluation Needed,High,Respiratory,No
Fever,< 1 Day,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Fever,< 1 Day,Underlying Disease Progression,Low,Neurological,No
Fever,1-3 Days,Acute Condition Likely,Medium,Gi,Yes
Fever,1-3 Days,Possible Infection,High,General,No
Fever,1-3 Days,Monitor Symptoms,Critical,Respiratory,Yes
Fever,1-3 Days,Requires Clinical Evaluation,Low,Cardiac,No
Fever,1-3 Days,Chronic Condition Suspected,Medium,Neurological,Yes
Fever,1-3 Days,Emergency Evaluation Needed,High,Gi,No
Fever,1-3 Days,Lifestyle-Related Issue Possible,Critical,General,Yes
Fever,1-3 Days,Underlying Disease Progression,Low,Respiratory,No
Fever,3-7 Days,Acute Condition Likely,Medium,Cardiac,Yes
Fever,3-7 Days,Possible Infection,High,Neurological,No
Fever,3-7 Days,Monitor Symptoms,Critical,Gi,Yes
Fever,3-7 Days,Requires Clinical Evaluation,Low,General,No
Fever,3-7 Days,Chronic Condition Suspected,Medium,Respiratory,Yes
Fever,3-7 Days,Emergency Evaluation Needed,High,Cardiac,No
Fever,3-7 Days,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Fever,3-7 Days,Underlying Disease Progression,Low,Gi,No
Fever,1-2 Weeks,Acute Condition Likely,Medium,General,Yes
Fever,1-2 Weeks,Possible Infection,High,Respiratory,No
Fever,1-2 Weeks,Monitor Symptoms,Critical,Cardiac,Yes
Fever,1-2 Weeks,Requires Clinical Evaluation,Low,Neurological,No
Fever,1-2 Weeks,Chronic Condition Suspected,Medium,Gi,Yes
Fever,1-2 Weeks,Emergency Evaluation Needed,High,General,No
Fever,1-2 Weeks,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Fever,1-2 Weeks,Underlying Disease Progression,Low,Cardiac,No
Fever,2-4 Weeks,Acute Condition Likely,Medium,Neurological,Yes
Fever,2-4 Weeks,Possible Infection,High,Gi,No
Fever,2-4 Weeks,Monitor Symptoms,Critical,General,Yes
Fever,2-4 Weeks,Requires Clinical Evaluation,Low,Respiratory,No
Fever,2-4 Weeks,Chronic Condition Suspected,Medium,Cardiac,Yes
Fever,2-4 Weeks,Emergency Evaluation Needed,High,Neurological,No
Fever,2-4 Weeks,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Fever,2-4 Weeks,Underlying Disease Progression,Low,General,No
Fever,1-3 Months,Acute Condition Likely,Medium,Respiratory,Yes
Fever,1-3 Months,Possible Infection,High,Cardiac,No
Fever,1-3 Months,Monitor Symptoms,Critical,Neurological,Yes
Fever,1-3 Months,Requires Clinical Evaluation,Low,Gi,No
Fever,1-3 Months,Chronic Condition Suspected,Medium,General,Yes
Fever,1-3 Months,Emergency Evaluation Needed,High,Respiratory,No
Fever,1-3 Months,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Fever,1-3 Months,Underlying Disease Progression,Low,Neurological,No
Fever,Chronic (>3 Months),Acute Condition Likely,Medium,Gi,Yes
Fever,Chronic (>3 Months),Possible Infection,High,General,No
Fever,Chronic (>3 Months),Monitor Symptoms,Critical,Respiratory,Yes
Fever,Chronic (>3 Months),Requires Clinical Evaluation,Low,Cardiac,No
Fever,Chronic (>3 Months),Chronic Condition Suspected,Medium,Neurological,Yes
Fever,Chronic (>3 Months),Emergency Evaluation Needed,High,Gi,No
Fever,Chronic (>3 Months),Lifestyle-Related Issue Possible,Critical,General,Yes
Fever,Chronic (>3 Months),Underlying Disease Progression,Low,Respiratory,No
Cough,< 1 Day,Acute Condition Likely,Medium,Cardiac,Yes
Cough,< 1 Day,Possible Infection,High,Neurological,No
Cough,< 1 Day,Monitor Symptoms,Critical,Gi,Yes
Cough,< 1 Day,Requires Clinical Evaluation,Low,General,No
Cough,< 1 Day,Chronic Condition Suspected,Medium,Respiratory,Yes
Cough,< 1 Day,Emergency Evaluation Needed,High,Cardiac,No
Cough,< 1 Day,Lifestyle-Related Issue Possible,Critical,Neurological,Yes
Cough,< 1 Day,Underlying Disease Progression,Low,Gi,No
Cough,1-3 Days,Acute Condition Likely,Medium,General,Yes
Cough,1-3 Days,Possible Infection,High,Respiratory,No
Cough,1-3 Days,Monitor Symptoms,Critical,Cardiac,Yes
Cough,1-3 Days,Requires Clinical Evaluation,Low,Neurological,No
Cough,1-3 Days,Chronic Condition Suspected,Medium,Gi,Yes
Cough,1-3 Days,Emergency Evaluation Needed,High,General,No
Cough,1-3 Days,Lifestyle-Related Issue Possible,Critical,Respiratory,Yes
Cough,1-3 Days,Underlying Disease Progression,Low,Cardiac,No
Cough,3-7 Days,Acute Condition Likely,Medium,Neurological,Yes
Cough,3-7 Days,Possible Infection,High,Gi,No
Cough,3-7 Days,Monitor Symptoms,Critical,General,Yes
Cough,3-7 Days,Requires Clinical Evaluation,Low,Respiratory,No
Cough,3-7 Days,Chronic Condition Suspected,Medium,Cardiac,Yes
Cough,3-7 Days,Emergency Evaluation Needed,High,Neurological,No
Cough,3-7 Days,Lifestyle-Related Issue Possible,Critical,Gi,Yes
Cough,3-7 Days,Underlying Disease Progression,Low,General,No
Cough,1-2 Weeks,Acute Condition Likely,Medium,Respiratory,Yes
Cough,1-2 Weeks,Possible Infection,High,Cardiac,No
Cough,1-2 Weeks,Monitor Symptoms,Critical,Neurological,Yes
Cough,1-2 Weeks,Requires Clinical Evaluation,Low,Gi,No
Cough,1-2 Weeks,Chronic Condition Suspected,Medium,General,Yes
Cough,1-2 Weeks,Emergency Evaluation Needed,High,Respiratory,No
Cough,1-2 Weeks,Lifestyle-Related Issue Possible,Critical,Cardiac,Yes
Cough,1-2 Weeks,Underlying Disease Progression,Low,Neurological,No
Cough,2-4 Weeks,Acute Condition Likely,Medium,Gi,Yes
