symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Fever,Since How Many Days?,Duration,Numeric,Medium,Respiratory,Yes
Fever,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Fever,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Fever,When Did It Start Worsening?,Progression,Numeric,Medium,Gi,No
Fever,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Fever,Triggered By Activity?,Trigger,Yes/No,Low,Msk,No
Fever,Localized Or Widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Fever,Constant Or Intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Fever,Does It Affect Daily Activities?,Impact,Yes/No,Low,General,Yes
Fever,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Cough,Since How Many Days?,Duration,Numeric,High,Cardiac,Yes
Cough,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Cough,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Medium,Gi,Yes
Cough,When Did It Start Worsening?,Progression,Numeric,High,Endocrine,No
Cough,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Low,Msk,Yes
Cough,Triggered By Activity?,Trigger,Yes/No,Medium,Dermatology,No
Cough,Localized Or Widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Cough,Constant Or Intermittent?,Pattern,Constant/Intermittent,Low,General,No
Cough,Does It Affect Daily Activities?,Impact,Yes/No,Medium,Respiratory,Yes
Cough,Any Emergency Warning Signs?,Emergency Flag,Yes/No,High,Cardiac,No
Fatigue,Since How Many Days?,Duration,Numeric,Low,Neurology,Yes
Fatigue,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,Medium,Gi,No
Fatigue,How Frequently Does It Occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Fatigue,When Did It Start Worsening?,Progression,Numeric,Low,Msk,No
Fatigue,Any Associated Symptoms Present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Fatigue,Triggered By Activity?,Trigger,Yes/No,High,Emergency,No
Fatigue,Localized Or Widespread?,Location,Localized/Diffuse,Low,General,Yes
Fatigue,Constant Or Intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Fatigue,Does It Affect Daily Activities?,Impact,Yes/No,High,Cardiac,Yes
Fatigue,Any Emergency Warning Signs?,Emergency Flag,Yes/No,Low,Neurology,No
Breathlessness,Since How Many Days?,Duration,Numeric,Medium,Gi,Yes
Breathlessness,"Mild, Moderate Or Severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Breathlessness,How Frequently Does It Occur?,Frequency,Occasional/Frequent,Low,Msk,Yes
Breathlessness,When Did It Start Worsening?,Progression,Numeric,Medium,Dermatology,No
Breathlessness,Any Associated Symptoms Present?,Associated Symptom,Yes/No,High,Emergency,Yes
Breathlessness,Triggered By Activity?,Trigger,Yes/No,Low,General,No
