disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,Headache,Nausea,Muscle Weakness +  Stiff Neck,"Arthritis, Acne, Drug Reaction",Symptom Duration
Fungal Infection,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Acidity +  Indigestion,"Migraine, Hypothyroidism, Hyperthyroidism",Oxygen Saturation
Fungal Infection,Itching,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Itching +  Fatigue,"Hepatitis B, Osteoarthristis, Fungal Infection",Symptom Duration
Fungal Infection,Itching,Skin Rash,Dischromic  Patches,High Fever,Headache,Nausea,Itching +  Skin Rash,"Drug Reaction, Cervical Spondylosis, Psoriasis",Cbc Test
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,High Fever,Headache,Nausea,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Alcoholic Hepatitis, Heart Attack",Oxygen Saturation
Fungal Infection,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Typhoid, Alcoholic Hepatitis",Pcr Confirmation
Fungal Infection,Itching,Nodal Skin Eruptions,Dischromic  Patches,High Fever,Headache,Nausea,Skin Rash +  Pus Filled Pimples,"Acne, Hepatitis A",Cbc Test
Fungal Infection,Itching,Skin Rash,Dischromic  Patches,High Fever,Headache,Nausea,Headache +  Chest Pain,"Hypertension , Hypoglycemia, Dengue",Oxygen Saturation
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,High Fever,Headache,Nausea,Stomach Pain +  Ulcers On Tongue,"Gerd, Arthritis",Breathlessness
Fungal Infection,Itching,Skin Rash,Nodal Skin Eruptions,Dischromic  Patches,Headache,Nausea,Bladder Discomfort +  Foul Smell Of Urine,"Urinary Tract Infection, Hepatitis C, Malaria",Platelet Count
Allergy,Continuous Sneezing,Shivering,Chills,Watering From Eyes,Headache,Nausea,Itching +  Vomiting,"Jaundice, Hyperthyroidism, Hepatitis E",Breathlessness
Allergy,Shivering,Chills,Watering From Eyes,High Fever,Headache,Nausea,Fatigue +  Weight Gain,"Hypothyroidism, Hepatitis B, Acne",Oxygen Saturation
Allergy,Continuous Sneezing,Chills,Watering From Eyes,High Fever,Headache,Nausea,Headache +  Chest Pain,"Hypertension , Hypoglycemia, Gastroenteritis",Cbc Test
Allergy,Continuous Sneezing,Shivering,Watering From Eyes,High Fever,Headache,Nausea,Continuous Sneezing +  Shivering,"Allergy, Fungal Infection",Oxygen Saturation
Allergy,Continuous Sneezing,Shivering,Chills,High Fever,Headache,Nausea,Skin Rash +  Blackheads,"Acne, Alcoholic Hepatitis, Hepatitis C",Platelet Count
Allergy,Shivering,Chills,Watering From Eyes,High Fever,Headache,Nausea,Chills +  Fatigue,"Pneumonia, Hepatitis A, Arthritis",Oxygen Saturation
Allergy,Continuous Sneezing,Chills,Watering From Eyes,High Fever,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis D, Varicose Veins, Aids",Cbc Test
Allergy,Continuous Sneezing,Shivering,Watering From Eyes,High Fever,Headache,Nausea,Weakness In Limbs +  Neck Pain,"Cervical Spondylosis, Allergy, Aids",Cbc Test
Allergy,Continuous Sneezing,Shivering,Chills,High Fever,Headache,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Gastroenteritis, Chronic Cholestasis",Oxygen Saturation
Allergy,Continuous Sneezing,Shivering,Chills,Watering From Eyes,Headache,Nausea,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Varicose Veins, Common Cold",Breathlessness
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Muscle Wasting +  Patches In Throat,"Aids, (Vertigo) Paroymsal  Positional Vertigo, Chicken Pox",Pcr Confirmation
Gerd,Stomach Pain,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Hepatitis C, Hypertension",Platelet Count
Gerd,Stomach Pain,Acidity,Vomiting,Cough,Chest Pain,Nausea,Vomiting +  Fatigue,"Jaundice, Migraine, Hepatitis B",Pcr Confirmation
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Cough,Chest Pain,Nausea,Vomiting +  Breathlessness,"Heart Attack, Cervical Spondylosis, Urinary Tract Infection",Pcr Confirmation
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Vomiting,Chest Pain,Nausea,Fatigue +  Cramps,"Varicose Veins, Peptic Ulcer Diseae, Heart Attack",Platelet Count
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Vomiting,Cough,Nausea,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Hypothyroidism, Alcoholic Hepatitis",Platelet Count
Gerd,Acidity,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Nausea,Joint Pain +  Vomiting,"Hepatitis D, Osteoarthristis, Cervical Spondylosis",Oxygen Saturation
Gerd,Stomach Pain,Ulcers On Tongue,Vomiting,Cough,Chest Pain,Nausea,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Aids, Tuberculosis",Pcr Confirmation
Gerd,Stomach Pain,Acidity,Vomiting,Cough,Chest Pain,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Peptic Ulcer Diseae, Hepatitis A",Oxygen Saturation
Gerd,Stomach Pain,Acidity,Ulcers On Tongue,Cough,Chest Pain,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Typhoid, Gerd",Cbc Test
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Fatigue +  Yellowish Skin,"Hepatitis C, Dengue, Chicken Pox",Breathlessness
Chronic Cholestasis,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Breathlessness +  Sweating,"Heart Attack, Migraine",Cbc Test
Chronic Cholestasis,Itching,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Joint Pain +  Neck Pain,"Osteoarthristis, Hepatitis C, Allergy",Cbc Test
Chronic Cholestasis,Itching,Vomiting,Nausea,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Vomiting +  Breathlessness,"Heart Attack, Hepatitis D, Psoriasis",Cbc Test
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Loss Of Appetite,Abdominal Pain,Yellowing Of Eyes,Chills +  Vomiting,"Malaria, Urinary Tract Infection, Chronic Cholestasis",Breathlessness
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Abdominal Pain,Yellowing Of Eyes,Headache +  Chest Pain,"Hypertension , Aids, Bronchial Asthma",Chest Pain Pattern
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Yellowing Of Eyes,Skin Rash +  Joint Pain,"Psoriasis, Hyperthyroidism, Hepatitis E",Travel History
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Chills +  Vomiting,"Typhoid, Hyperthyroidism, Diabetes",Pcr Confirmation
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Fatigue +  Mood Swings,"Hyperthyroidism, Diabetes , Hepatitis E",Platelet Count
Chronic Cholestasis,Itching,Vomiting,Yellowish Skin,Nausea,Loss Of Appetite,Abdominal Pain,Joint Pain +  Vomiting,"Hepatitis A, Hepatitis D",Cbc Test
Drug Reaction,Itching,Skin Rash,Stomach Pain,Burning Micturition,Spotting  Urination,Nausea,Continuous Sneezing +  Chills,"Common Cold, Aids, Urinary Tract Infection",Symptom Duration
Drug Reaction,Itching,Stomach Pain,Burning Micturition,Spotting  Urination,Headache,Nausea,Skin Rash +  Chills,"Dengue, Psoriasis, Alcoholic Hepatitis",Chest Pain Pattern
Drug Reaction,Itching,Skin Rash,Burning Micturition,Spotting  Urination,Headache,Nausea,Itching +  Fatigue,"Hepatitis B, Arthritis, Peptic Ulcer Diseae",Oxygen Saturation
Drug Reaction,Itching,Skin Rash,Stomach Pain,Spotting  Urination,Headache,Nausea,Acidity +  Indigestion,"Migraine, Typhoid, Hepatitis E",Cbc Test
Drug Reaction,Itching,Skin Rash,Stomach Pain,Burning Micturition,Headache,Nausea,Constipation +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Hypothyroidism, Peptic Ulcer Diseae",Breathlessness
Drug Reaction,Skin Rash,Stomach Pain,Burning Micturition,Spotting  Urination,Headache,Nausea,Skin Rash +  High Fever,"Impetigo, Jaundice, Hypoglycemia",Inflammatory Markers
Drug Reaction,Itching,Stomach Pain,Burning Micturition,Spotting  Urination,Headache,Nausea,Fatigue +  Cramps,"Varicose Veins, Osteoarthristis, Hypertension",Platelet Count
Drug Reaction,Itching,Skin Rash,Burning Micturition,Spotting  Urination,Headache,Nausea,Fatigue +  Cramps,"Varicose Veins, Allergy, Hyperthyroidism",Chest Pain Pattern
Drug Reaction,Itching,Skin Rash,Stomach Pain,Spotting  Urination,Headache,Nausea,Itching +  Skin Rash,"Chicken Pox, Pneumonia, Psoriasis",Platelet Count
Drug Reaction,Itching,Skin Rash,Stomach Pain,Burning Micturition,Headache,Nausea,Patches In Throat +  High Fever,"Aids, Gastroenteritis, Hepatitis B",Pcr Confirmation
Peptic Ulcer Diseae,Vomiting,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Skin Rash +  High Fever,"Impetigo, Paralysis (Brain Hemorrhage), Psoriasis",Breathlessness
Peptic Ulcer Diseae,Vomiting,Indigestion,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Acidity +  Indigestion,"Migraine, Hepatitis B, Bronchial Asthma",Platelet Count
Peptic Ulcer Diseae,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Vomiting +  Sunken Eyes,"Gastroenteritis, Common Cold, Migraine",Travel History
Peptic Ulcer Diseae,Vomiting,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Chills +  Vomiting,"Tuberculosis, Malaria, Gerd",Pcr Confirmation
Peptic Ulcer Diseae,Vomiting,Indigestion,Abdominal Pain,Passage Of Gases,Internal Itching,Nausea,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Acne, Hepatitis B",Platelet Count
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Passage Of Gases,Internal Itching,Nausea,Continuous Sneezing +  Chills,"Common Cold, (Vertigo) Paroymsal  Positional Vertigo, Chronic Cholestasis",Oxygen Saturation
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Internal Itching,Nausea,Itching +  Fatigue,"Hepatitis B, Hypothyroidism, Acne",Cbc Test
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Nausea,Muscle Weakness +  Stiff Neck,"Arthritis, Malaria, Hepatitis A",Inflammatory Markers
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Fatigue +  Cough,"Bronchial Asthma, Typhoid, Diabetes",Inflammatory Markers
Peptic Ulcer Diseae,Vomiting,Indigestion,Loss Of Appetite,Abdominal Pain,Passage Of Gases,Internal Itching,Muscle Wasting +  Patches In Throat,"Aids, Typhoid, Bronchial Asthma",Breathlessness
Aids,Muscle Wasting,Patches In Throat,High Fever,Extra Marital Contacts,Headache,Nausea,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Allergy, Gerd",Oxygen Saturation
Aids,Patches In Throat,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Chest Pain +  Dizziness,"Hypertension , Pneumonia, Typhoid",Platelet Count
Aids,Muscle Wasting,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Urinary Tract Infection, Alcoholic Hepatitis",Pcr Confirmation
Aids,Muscle Wasting,Patches In Throat,Extra Marital Contacts,High Fever,Headache,Nausea,Stomach Pain +  Ulcers On Tongue,"Gerd, Typhoid, Peptic Ulcer Diseae",Platelet Count
Aids,Muscle Wasting,Patches In Throat,High Fever,High Fever,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis E, Malaria, Gastroenteritis",Breathlessness
Aids,Muscle Wasting,Patches In Throat,High Fever,Extra Marital Contacts,Headache,Nausea,Neck Pain +  Knee Pain,"Osteoarthristis, Hypertension , Hyperthyroidism",Platelet Count
Aids,Muscle Wasting,Patches In Throat,High Fever,Extra Marital Contacts,Headache,Nausea,Muscle Wasting +  Patches In Throat,"Aids, Hepatitis B, Jaundice",Symptom Duration
Aids,Patches In Throat,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Itching +  Skin Rash,"Drug Reaction, Hepatitis E, Dengue",Rash Pattern
Aids,Muscle Wasting,High Fever,Extra Marital Contacts,High Fever,Headache,Nausea,Chills +  Fatigue,"Pneumonia, Hypertension , Jaundice",Cbc Test
Aids,Muscle Wasting,Patches In Throat,High Fever,High Fever,Headache,Nausea,Skin Rash +  Pus Filled Pimples,"Acne, Dengue, Pneumonia",Platelet Count
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Chills +  Vomiting,"Typhoid, Hypoglycemia, Common Cold",Travel History
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Skin Rash +  Blister,"Impetigo, Hepatitis B, Hypothyroidism",Symptom Duration
Diabetes,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Joint Pain +  Neck Pain,"Osteoarthristis, Aids, Hypothyroidism",Symptom Duration
Diabetes,Fatigue,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Chills +  Fatigue,"Pneumonia, Urinary Tract Infection, Peptic Ulcer Diseae",Breathlessness
Diabetes,Fatigue,Weight Loss,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Hyperthyroidism, Hepatitis D",Travel History
Diabetes,Fatigue,Weight Loss,Restlessness,Irregular Sugar Level,Blurred And Distorted Vision,Obesity,Acidity +  Indigestion,"Migraine, Osteoarthristis, Allergy",Symptom Duration
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Blurred And Distorted Vision,Obesity,Chills +  Joint Pain,"Dengue, Hepatitis C, Hepatitis D",Rash Pattern
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Obesity,Headache +  Chest Pain,"Hypertension , Chronic Cholestasis, Bronchial Asthma",Rash Pattern
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Vomiting +  Breathlessness,"Heart Attack, Gastroenteritis, Psoriasis",Travel History
Diabetes,Fatigue,Weight Loss,Restlessness,Lethargy,Irregular Sugar Level,Blurred And Distorted Vision,Skin Rash +  High Fever,"Impetigo, Acne, Varicose Veins",Pcr Confirmation
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,Diarrhoea,Headache,Nausea,Skin Rash +  Pus Filled Pimples,"Acne, Alcoholic Hepatitis, Urinary Tract Infection",Platelet Count
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,Diarrhoea,Headache,Nausea,Fatigue +  Cough,"Bronchial Asthma, Dimorphic Hemmorhoids(Piles), Osteoarthristis",Breathlessness
Gastroenteritis,Sunken Eyes,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Skin Rash +  Chills,"Dengue, Pneumonia, Osteoarthristis",Oxygen Saturation
Gastroenteritis,Vomiting,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Tuberculosis, Hepatitis D",Breathlessness
Gastroenteritis,Vomiting,Sunken Eyes,Diarrhoea,High Fever,Headache,Nausea,Continuous Sneezing +  Chills,"Common Cold, Varicose Veins, Gerd",Oxygen Saturation
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,High Fever,Headache,Nausea,Fatigue +  Mood Swings,"Hyperthyroidism, Cervical Spondylosis, Allergy",Rash Pattern
Gastroenteritis,Vomiting,Sunken Eyes,Dehydration,Diarrhoea,Headache,Nausea,Chills +  Vomiting,"Tuberculosis, Bronchial Asthma, Aids",Platelet Count
Gastroenteritis,Sunken Eyes,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Muscle Wasting +  Patches In Throat,"Aids, Chronic Cholestasis, Hepatitis B",Travel History
Gastroenteritis,Vomiting,Dehydration,Diarrhoea,High Fever,Headache,Nausea,Fatigue +  Yellowish Skin,"Hepatitis C, Hepatitis B, Malaria",Inflammatory Markers
Gastroenteritis,Vomiting,Sunken Eyes,Diarrhoea,High Fever,Headache,Nausea,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Allergy, Varicose Veins",Cbc Test
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Chills +  Vomiting,"Tuberculosis, Hepatitis D, Arthritis",Platelet Count
Bronchial Asthma,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Itching +  Vomiting,"Jaundice, Gastroenteritis, Hepatitis A",Oxygen Saturation
Bronchial Asthma,Fatigue,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Vomiting +  Fatigue,"Jaundice, Hypoglycemia, Paralysis (Brain Hemorrhage)",Pcr Confirmation
Bronchial Asthma,Fatigue,Cough,Breathlessness,Family History,Mucoid Sputum,Nausea,Chills +  Vomiting,"Malaria, Acne, Urinary Tract Infection",Cbc Test
Bronchial Asthma,Fatigue,Cough,High Fever,Family History,Mucoid Sputum,Nausea,Vomiting +  Weakness Of One Body Side,"Paralysis (Brain Hemorrhage), Urinary Tract Infection, Acne",Symptom Duration
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Mucoid Sputum,Nausea,Vomiting +  Fatigue,"Hypoglycemia, Tuberculosis, Gerd",Platelet Count
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Family History,Nausea,Itching +  Skin Rash,"Drug Reaction, Peptic Ulcer Diseae, Migraine",Oxygen Saturation
Bronchial Asthma,Fatigue,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Fatigue +  High Fever,"Bronchial Asthma, Hyperthyroidism, Diabetes",Pcr Confirmation
Bronchial Asthma,Cough,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Itching +  Vomiting,"Chronic Cholestasis, Common Cold, Chicken Pox",Symptom Duration
Bronchial Asthma,Fatigue,High Fever,Breathlessness,Family History,Mucoid Sputum,Nausea,Joint Pain +  Vomiting,"Hepatitis A, Gerd, Alcoholic Hepatitis",Oxygen Saturation
Hypertension,Headache,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Nausea,Vomiting +  Dehydration,"Gastroenteritis, Drug Reaction, Allergy",Breathlessness
Hypertension,Chest Pain,Dizziness,Loss Of Balance,Lack Of Concentration,Headache,Nausea,Fatigue +  Bruising,"Varicose Veins, Dengue, Impetigo",Platelet Count
