disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor,symptom_count
Fungal Infection,15,35,35,11,12,20,Muscle Weakness +  Stiff Neck,"Arthritis, Acne, Drug Reaction",8,7
Fungal Infection,25,27,18,19,12,20,Acidity +  Indigestion,"Migraine, Hypothyroidism, Hyperthyroidism",4,7
Fungal Infection,15,27,18,19,12,20,Itching +  Fatigue,"Hepatitis B, Osteoarthristis, Fungal Infection",8,7
Fungal Infection,15,35,18,19,12,20,Itching +  Skin Rash,"Drug Reaction, Cervical Spondylosis, Psoriasis",1,7
Fungal Infection,15,35,35,19,12,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Alcoholic Hepatitis, Heart Attack",4,7
Fungal Infection,25,27,18,19,12,20,Joint Pain +  Vomiting,"Hepatitis A, Typhoid, Alcoholic Hepatitis",5,7
Fungal Infection,15,27,18,19,12,20,Skin Rash +  Pus Filled Pimples,"Acne, Hepatitis A",1,7
Fungal Infection,15,35,18,19,12,20,Headache +  Chest Pain,"Hypertension , Hypoglycemia, Dengue",4,7
Fungal Infection,15,35,35,19,12,20,Stomach Pain +  Ulcers On Tongue,"Gerd, Arthritis",0,7
Fungal Infection,15,35,35,11,12,20,Bladder Discomfort +  Foul Smell Of Urine,"Urinary Tract Infection, Hepatitis C, Malaria",6,7
Allergy,8,33,11,45,12,20,Itching +  Vomiting,"Jaundice, Hyperthyroidism, Hepatitis E",0,7
Allergy,24,9,50,19,12,20,Fatigue +  Weight Gain,"Hypothyroidism, Hepatitis B, Acne",4,7
Allergy,8,9,50,19,12,20,Headache +  Chest Pain,"Hypertension , Hypoglycemia, Gastroenteritis",1,7
Allergy,8,33,50,19,12,20,Continuous Sneezing +  Shivering,"Allergy, Fungal Infection",4,7
Allergy,8,33,11,19,12,20,Skin Rash +  Blackheads,"Acne, Alcoholic Hepatitis, Hepatitis C",6,7
Allergy,24,9,50,19,12,20,Chills +  Fatigue,"Pneumonia, Hepatitis A, Arthritis",4,7
Allergy,8,9,50,19,12,20,Joint Pain +  Vomiting,"Hepatitis D, Varicose Veins, Aids",1,7
Allergy,8,33,50,19,12,20,Weakness In Limbs +  Neck Pain,"Cervical Spondylosis, Allergy, Aids",1,7
Allergy,8,33,11,19,12,20,Fatigue +  Yellowish Skin,"Hepatitis C, Gastroenteritis, Chronic Cholestasis",4,7
Allergy,8,33,11,45,12,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Varicose Veins, Common Cold",0,7
Gerd,27,1,48,44,4,3,Muscle Wasting +  Patches In Throat,"Aids, (Vertigo) Paroymsal  Positional Vertigo, Chicken Pox",5,7
Gerd,27,41,49,8,3,20,Joint Pain +  Vomiting,"Hepatitis A, Hepatitis C, Hypertension",6,7
Gerd,27,1,49,8,3,20,Vomiting +  Fatigue,"Jaundice, Migraine, Hepatitis B",5,7
Gerd,27,1,48,8,3,20,Vomiting +  Breathlessness,"Heart Attack, Cervical Spondylosis, Urinary Tract Infection",5,7
Gerd,27,1,48,44,3,20,Fatigue +  Cramps,"Varicose Veins, Peptic Ulcer Diseae, Heart Attack",6,7
Gerd,27,1,48,44,4,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Hypothyroidism, Alcoholic Hepatitis",6,7
Gerd,0,41,49,8,3,20,Joint Pain +  Vomiting,"Hepatitis D, Osteoarthristis, Cervical Spondylosis",4,7
Gerd,27,41,49,8,3,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Aids, Tuberculosis",5,7
Gerd,27,1,49,8,3,20,Fatigue +  Yellowish Skin,"Hepatitis C, Peptic Ulcer Diseae, Hepatitis A",4,7
Gerd,27,1,48,8,3,20,Fatigue +  Yellowish Skin,"Hepatitis C, Typhoid, Gerd",1,7
Chronic Cholestasis,15,42,53,29,21,0,Fatigue +  Yellowish Skin,"Hepatitis C, Dengue, Chicken Pox",0,7
Chronic Cholestasis,29,47,33,25,0,30,Breathlessness +  Sweating,"Heart Attack, Migraine",1,7
Chronic Cholestasis,15,47,33,25,0,30,Joint Pain +  Neck Pain,"Osteoarthristis, Hepatitis C, Allergy",1,7
Chronic Cholestasis,15,42,33,25,0,30,Vomiting +  Breathlessness,"Heart Attack, Hepatitis D, Psoriasis",1,7
Chronic Cholestasis,15,42,53,25,0,30,Chills +  Vomiting,"Malaria, Urinary Tract Infection, Chronic Cholestasis",0,7
Chronic Cholestasis,15,42,53,29,0,30,Headache +  Chest Pain,"Hypertension , Aids, Bronchial Asthma",2,7
Chronic Cholestasis,15,42,53,29,21,30,Skin Rash +  Joint Pain,"Psoriasis, Hyperthyroidism, Hepatitis E",9,7
Chronic Cholestasis,15,42,53,29,21,0,Chills +  Vomiting,"Typhoid, Hyperthyroidism, Diabetes",5,7
Chronic Cholestasis,15,42,53,29,21,0,Fatigue +  Mood Swings,"Hyperthyroidism, Diabetes , Hepatitis E",6,7
Chronic Cholestasis,15,42,53,29,21,0,Joint Pain +  Vomiting,"Hepatitis A, Hepatitis D",1,7
Drug Reaction,15,35,44,5,28,20,Continuous Sneezing +  Chills,"Common Cold, Aids, Urinary Tract Infection",8,7
Drug Reaction,15,37,9,39,12,20,Skin Rash +  Chills,"Dengue, Psoriasis, Alcoholic Hepatitis",2,7
Drug Reaction,15,35,9,39,12,20,Itching +  Fatigue,"Hepatitis B, Arthritis, Peptic Ulcer Diseae",4,7
Drug Reaction,15,35,44,39,12,20,Acidity +  Indigestion,"Migraine, Typhoid, Hepatitis E",1,7
Drug Reaction,15,35,44,5,12,20,Constipation +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Hypothyroidism, Peptic Ulcer Diseae",0,7
Drug Reaction,25,37,9,39,12,20,Skin Rash +  High Fever,"Impetigo, Jaundice, Hypoglycemia",3,7
Drug Reaction,15,37,9,39,12,20,Fatigue +  Cramps,"Varicose Veins, Osteoarthristis, Hypertension",6,7
Drug Reaction,15,35,9,39,12,20,Fatigue +  Cramps,"Varicose Veins, Allergy, Hyperthyroidism",2,7
Drug Reaction,15,35,44,39,12,20,Itching +  Skin Rash,"Chicken Pox, Pneumonia, Psoriasis",6,7
Drug Reaction,15,35,44,5,12,20,Patches In Throat +  High Fever,"Aids, Gastroenteritis, Hepatitis B",5,7
Peptic Ulcer Diseae,29,23,0,32,16,20,Skin Rash +  High Fever,"Impetigo, Paralysis (Brain Hemorrhage), Psoriasis",0,7
Peptic Ulcer Diseae,29,19,0,32,16,20,Acidity +  Indigestion,"Migraine, Hepatitis B, Bronchial Asthma",6,7
Peptic Ulcer Diseae,14,23,0,32,16,20,Vomiting +  Sunken Eyes,"Gastroenteritis, Common Cold, Migraine",9,7
Peptic Ulcer Diseae,29,23,0,32,16,20,Chills +  Vomiting,"Tuberculosis, Malaria, Gerd",5,7
Peptic Ulcer Diseae,29,19,0,32,16,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Acne, Hepatitis B",6,7
Peptic Ulcer Diseae,29,19,29,32,16,20,Continuous Sneezing +  Chills,"Common Cold, (Vertigo) Paroymsal  Positional Vertigo, Chronic Cholestasis",4,7
Peptic Ulcer Diseae,29,19,29,0,16,20,Itching +  Fatigue,"Hepatitis B, Hypothyroidism, Acne",1,7
Peptic Ulcer Diseae,29,19,29,0,26,20,Muscle Weakness +  Stiff Neck,"Arthritis, Malaria, Hepatitis A",3,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Fatigue +  Cough,"Bronchial Asthma, Typhoid, Diabetes",3,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Muscle Wasting +  Patches In Throat,"Aids, Typhoid, Bronchial Asthma",0,7
Aids,18,30,24,15,12,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Allergy, Gerd",4,7
Aids,22,18,20,19,12,20,Chest Pain +  Dizziness,"Hypertension , Pneumonia, Typhoid",6,7
Aids,18,18,20,19,12,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Urinary Tract Infection, Alcoholic Hepatitis",5,7
Aids,18,30,20,19,12,20,Stomach Pain +  Ulcers On Tongue,"Gerd, Typhoid, Peptic Ulcer Diseae",6,7
Aids,18,30,24,19,12,20,Joint Pain +  Vomiting,"Hepatitis E, Malaria, Gastroenteritis",0,7
Aids,18,30,24,15,12,20,Neck Pain +  Knee Pain,"Osteoarthristis, Hypertension , Hyperthyroidism",6,7
Aids,18,30,24,15,12,20,Muscle Wasting +  Patches In Throat,"Aids, Hepatitis B, Jaundice",8,7
Aids,22,18,20,19,12,20,Itching +  Skin Rash,"Drug Reaction, Hepatitis E, Dengue",7,7
Aids,18,18,20,19,12,20,Chills +  Fatigue,"Pneumonia, Hypertension , Jaundice",1,7
Aids,18,30,24,19,12,20,Skin Rash +  Pus Filled Pimples,"Acne, Dengue, Pneumonia",6,7
Diabetes,11,46,39,24,17,1,Chills +  Vomiting,"Typhoid, Hypoglycemia, Common Cold",9,7
Diabetes,11,46,39,24,17,1,Skin Rash +  Blister,"Impetigo, Hepatitis B, Hypothyroidism",8,7
Diabetes,32,32,28,21,1,21,Joint Pain +  Neck Pain,"Osteoarthristis, Aids, Hypothyroidism",8,7
Diabetes,11,32,28,21,1,21,Chills +  Fatigue,"Pneumonia, Urinary Tract Infection, Peptic Ulcer Diseae",0,7
Diabetes,11,46,28,21,1,21,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Hyperthyroidism, Hepatitis D",9,7
Diabetes,11,46,39,21,1,21,Acidity +  Indigestion,"Migraine, Osteoarthristis, Allergy",8,7
Diabetes,11,46,39,24,1,21,Chills +  Joint Pain,"Dengue, Hepatitis C, Hepatitis D",7,7
Diabetes,11,46,39,24,17,21,Headache +  Chest Pain,"Hypertension , Chronic Cholestasis, Bronchial Asthma",7,7
Diabetes,11,46,39,24,17,1,Vomiting +  Breathlessness,"Heart Attack, Gastroenteritis, Psoriasis",9,7
Diabetes,11,46,39,24,17,1,Skin Rash +  High Fever,"Impetigo, Acne, Varicose Veins",5,7
Gastroenteritis,29,38,16,10,12,20,Skin Rash +  Pus Filled Pimples,"Acne, Alcoholic Hepatitis, Urinary Tract Infection",6,7
Gastroenteritis,29,38,16,10,12,20,Fatigue +  Cough,"Bronchial Asthma, Dimorphic Hemmorhoids(Piles), Osteoarthristis",0,7
Gastroenteritis,28,13,17,19,12,20,Skin Rash +  Chills,"Dengue, Pneumonia, Osteoarthristis",4,7
Gastroenteritis,29,13,17,19,12,20,Joint Pain +  Vomiting,"Hepatitis A, Tuberculosis, Hepatitis D",0,7
Gastroenteritis,29,38,17,19,12,20,Continuous Sneezing +  Chills,"Common Cold, Varicose Veins, Gerd",4,7
Gastroenteritis,29,38,16,19,12,20,Fatigue +  Mood Swings,"Hyperthyroidism, Cervical Spondylosis, Allergy",7,7
Gastroenteritis,29,38,16,10,12,20,Chills +  Vomiting,"Tuberculosis, Bronchial Asthma, Aids",6,7
Gastroenteritis,28,13,17,19,12,20,Muscle Wasting +  Patches In Throat,"Aids, Chronic Cholestasis, Hepatitis B",9,7
Gastroenteritis,29,13,17,19,12,20,Fatigue +  Yellowish Skin,"Hepatitis C, Hepatitis B, Malaria",3,7
Gastroenteritis,29,38,17,19,12,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Allergy, Varicose Veins",1,7
Bronchial Asthma,11,11,24,4,10,19,Chills +  Vomiting,"Tuberculosis, Hepatitis D, Arthritis",6,7
Bronchial Asthma,9,18,7,16,23,20,Itching +  Vomiting,"Jaundice, Gastroenteritis, Hepatitis A",4,7
Bronchial Asthma,11,18,7,16,23,20,Vomiting +  Fatigue,"Jaundice, Hypoglycemia, Paralysis (Brain Hemorrhage)",5,7
Bronchial Asthma,11,11,7,16,23,20,Chills +  Vomiting,"Malaria, Acne, Urinary Tract Infection",1,7
Bronchial Asthma,11,11,24,16,23,20,Vomiting +  Weakness Of One Body Side,"Paralysis (Brain Hemorrhage), Urinary Tract Infection, Acne",8,7
Bronchial Asthma,11,11,24,4,23,20,Vomiting +  Fatigue,"Hypoglycemia, Tuberculosis, Gerd",6,7
Bronchial Asthma,11,11,24,4,10,20,Itching +  Skin Rash,"Drug Reaction, Peptic Ulcer Diseae, Migraine",4,7
Bronchial Asthma,11,11,24,4,10,19,Fatigue +  High Fever,"Bronchial Asthma, Hyperthyroidism, Diabetes",5,7
Bronchial Asthma,9,18,7,16,23,20,Itching +  Vomiting,"Chronic Cholestasis, Common Cold, Chicken Pox",8,7
Bronchial Asthma,11,18,7,16,23,20,Joint Pain +  Vomiting,"Hepatitis A, Gerd, Alcoholic Hepatitis",4,7
Hypertension,12,8,19,26,19,20,Vomiting +  Dehydration,"Gastroenteritis, Drug Reaction, Allergy",0,7
Hypertension,5,14,30,23,12,20,Fatigue +  Bruising,"Varicose Veins, Dengue, Impetigo",6,7
Hypertension,12,14,30,23,12,20,Joint Pain +  Neck Pain,"Osteoarthristis, Typhoid, Tuberculosis",5,7
Hypertension,12,8,30,23,12,20,Weakness In Limbs +  Neck Pain,"Cervical Spondylosis, Allergy, (Vertigo) Paroymsal  Positional Vertigo",7,7
Hypertension,12,8,19,23,12,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Heart Attack, Urinary Tract Infection",9,7
Hypertension,12,8,19,26,12,20,Fatigue +  Mood Swings,"Hyperthyroidism, Hypothyroidism, Hypoglycemia",0,7
Hypertension,12,8,19,26,19,20,Continuous Sneezing +  Shivering,"Allergy, Hyperthyroidism, Dimorphic Hemmorhoids(Piles)",2,7
Hypertension,5,14,30,23,12,20,Skin Rash +  Pus Filled Pimples,"Acne, Hepatitis A",2,7
Hypertension,12,14,30,23,12,20,Chills +  Vomiting,"Tuberculosis, Cervical Spondylosis, Varicose Veins",5,7
Hypertension,12,8,30,23,12,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Fungal Infection, Varicose Veins",5,7
Migraine,0,19,23,3,9,25,Joint Pain +  Vomiting,"Hepatitis D, Diabetes , Hepatitis E",0,7
Migraine,14,17,6,14,29,6,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Arthritis, Dimorphic Hemmorhoids(Piles)",4,7
Migraine,0,17,6,14,29,6,Chills +  Vomiting,"Tuberculosis, Acne, Common Cold",5,7
