symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Fever,Since How Many Days?,1,3,2,8,1
Fever,"Mild, Moderate Or Severe?",8,2,3,0,0
Fever,How Frequently Does It Occur?,3,4,1,7,1
Fever,When Did It Start Worsening?,7,3,2,5,0
Fever,Any Associated Symptoms Present?,0,5,3,3,1
Fever,Triggered By Activity?,9,5,1,6,0
Fever,Localized Or Widespread?,5,1,2,1,1
Fever,Constant Or Intermittent?,6,0,3,2,0
Fever,Does It Affect Daily Activities?,4,5,1,4,1
Fever,Any Emergency Warning Signs?,2,5,2,8,0
Cough,Since How Many Days?,1,3,3,0,1
Cough,"Mild, Moderate Or Severe?",8,2,1,7,0
Cough,How Frequently Does It Occur?,3,4,2,5,1
Cough,When Did It Start Worsening?,7,3,3,3,0
Cough,Any Associated Symptoms Present?,0,5,1,6,1
Cough,Triggered By Activity?,9,5,2,1,0
Cough,Localized Or Widespread?,5,1,3,2,1
Cough,Constant Or Intermittent?,6,0,1,4,0
Cough,Does It Affect Daily Activities?,4,5,2,8,1
Cough,Any Emergency Warning Signs?,2,5,3,0,0
Fatigue,Since How Many Days?,1,3,1,7,1
Fatigue,"Mild, Moderate Or Severe?",8,2,2,5,0
Fatigue,How Frequently Does It Occur?,3,4,3,3,1
Fatigue,When Did It Start Worsening?,7,3,1,6,0
Fatigue,Any Associated Symptoms Present?,0,5,2,1,1
Fatigue,Triggered By Activity?,9,5,3,2,0
Fatigue,Localized Or Widespread?,5,1,1,4,1
Fatigue,Constant Or Intermittent?,6,0,2,8,0
Fatigue,Does It Affect Daily Activities?,4,5,3,0,1
Fatigue,Any Emergency Warning Signs?,2,5,1,7,0
Breathlessness,Since How Many Days?,1,3,2,5,1
Breathlessness,"Mild, Moderate Or Severe?",8,2,3,3,0
Breathlessness,How Frequently Does It Occur?,3,4,1,6,1
Breathlessness,When Did It Start Worsening?,7,3,2,1,0
Breathlessness,Any Associated Symptoms Present?,0,5,3,2,1
Breathlessness,Triggered By Activity?,9,5,1,4,0
Breathlessness,Localized Or Widespread?,5,1,2,8,1
Breathlessness,Constant Or Intermittent?,6,0,3,0,0
Breathlessness,Does It Affect Daily Activities?,4,5,1,7,1
Breathlessness,Any Emergency Warning Signs?,2,5,2,5,0
Chest Pain,Since How Many Days?,1,3,3,3,1
Chest Pain,"Mild, Moderate Or Severe?",8,2,1,6,0
Chest Pain,How Frequently Does It Occur?,3,4,2,1,1
Chest Pain,When Did It Start Worsening?,7,3,3,2,0
Chest Pain,Any Associated Symptoms Present?,0,5,1,4,1
Chest Pain,Triggered By Activity?,9,5,2,8,0
Chest Pain,Localized Or Widespread?,5,1,3,0,1
Chest Pain,Constant Or Intermittent?,6,0,1,7,0
Chest Pain,Does It Affect Daily Activities?,4,5,2,5,1
Chest Pain,Any Emergency Warning Signs?,2,5,3,3,0
Headache,Since How Many Days?,1,3,1,6,1
Headache,"Mild, Moderate Or Severe?",8,2,2,1,0
Headache,How Frequently Does It Occur?,3,4,3,2,1
Headache,When Did It Start Worsening?,7,3,1,4,0
Headache,Any Associated Symptoms Present?,0,5,2,8,1
Headache,Triggered By Activity?,9,5,3,0,0
Headache,Localized Or Widespread?,5,1,1,7,1
Headache,Constant Or Intermittent?,6,0,2,5,0
Headache,Does It Affect Daily Activities?,4,5,3,3,1
Headache,Any Emergency Warning Signs?,2,5,1,6,0
Dizziness,Since How Many Days?,1,3,2,1,1
Dizziness,"Mild, Moderate Or Severe?",8,2,3,2,0
Dizziness,How Frequently Does It Occur?,3,4,1,4,1
Dizziness,When Did It Start Worsening?,7,3,2,8,0
Dizziness,Any Associated Symptoms Present?,0,5,3,0,1
Dizziness,Triggered By Activity?,9,5,1,7,0
Dizziness,Localized Or Widespread?,5,1,2,5,1
Dizziness,Constant Or Intermittent?,6,0,3,3,0
Dizziness,Does It Affect Daily Activities?,4,5,1,6,1
Dizziness,Any Emergency Warning Signs?,2,5,2,1,0
Nausea,Since How Many Days?,1,3,3,2,1
Nausea,"Mild, Moderate Or Severe?",8,2,1,4,0
Nausea,How Frequently Does It Occur?,3,4,2,8,1
Nausea,When Did It Start Worsening?,7,3,3,0,0
Nausea,Any Associated Symptoms Present?,0,5,1,7,1
Nausea,Triggered By Activity?,9,5,2,5,0
Nausea,Localized Or Widespread?,5,1,3,3,1
Nausea,Constant Or Intermittent?,6,0,1,6,0
Nausea,Does It Affect Daily Activities?,4,5,2,1,1
Nausea,Any Emergency Warning Signs?,2,5,3,2,0
Vomiting,Since How Many Days?,1,3,1,4,1
Vomiting,"Mild, Moderate Or Severe?",8,2,2,8,0
Vomiting,How Frequently Does It Occur?,3,4,3,0,1
Vomiting,When Did It Start Worsening?,7,3,1,7,0
Vomiting,Any Associated Symptoms Present?,0,5,2,5,1
Vomiting,Triggered By Activity?,9,5,3,3,0
Vomiting,Localized Or Widespread?,5,1,1,6,1
Vomiting,Constant Or Intermittent?,6,0,2,1,0
Vomiting,Does It Affect Daily Activities?,4,5,3,2,1
Vomiting,Any Emergency Warning Signs?,2,5,1,4,0
Diarrhea,Since How Many Days?,1,3,2,8,1
Diarrhea,"Mild, Moderate Or Severe?",8,2,3,0,0
Diarrhea,How Frequently Does It Occur?,3,4,1,7,1
Diarrhea,When Did It Start Worsening?,7,3,2,5,0
Diarrhea,Any Associated Symptoms Present?,0,5,3,3,1
Diarrhea,Triggered By Activity?,9,5,1,6,0
Diarrhea,Localized Or Widespread?,5,1,2,1,1
Diarrhea,Constant Or Intermittent?,6,0,3,2,0
Diarrhea,Does It Affect Daily Activities?,4,5,1,4,1
Diarrhea,Any Emergency Warning Signs?,2,5,2,8,0
Constipation,Since How Many Days?,1,3,3,0,1
Constipation,"Mild, Moderate Or Severe?",8,2,1,7,0
Constipation,How Frequently Does It Occur?,3,4,2,5,1
Constipation,When Did It Start Worsening?,7,3,3,3,0
Constipation,Any Associated Symptoms Present?,0,5,1,6,1
Constipation,Triggered By Activity?,9,5,2,1,0
Constipation,Localized Or Widespread?,5,1,3,2,1
Constipation,Constant Or Intermittent?,6,0,1,4,0
Constipation,Does It Affect Daily Activities?,4,5,2,8,1
Constipation,Any Emergency Warning Signs?,2,5,3,0,0
Abdominal Pain,Since How Many Days?,1,3,1,7,1
Abdominal Pain,"Mild, Moderate Or Severe?",8,2,2,5,0
Abdominal Pain,How Frequently Does It Occur?,3,4,3,3,1
Abdominal Pain,When Did It Start Worsening?,7,3,1,6,0
Abdominal Pain,Any Associated Symptoms Present?,0,5,2,1,1
Abdominal Pain,Triggered By Activity?,9,5,3,2,0
Abdominal Pain,Localized Or Widespread?,5,1,1,4,1
Abdominal Pain,Constant Or Intermittent?,6,0,2,8,0
Abdominal Pain,Does It Affect Daily Activities?,4,5,3,0,1
Abdominal Pain,Any Emergency Warning Signs?,2,5,1,7,0
Back Pain,Since How Many Days?,1,3,2,5,1
Back Pain,"Mild, Moderate Or Severe?",8,2,3,3,0
Back Pain,How Frequently Does It Occur?,3,4,1,6,1
Back Pain,When Did It Start Worsening?,7,3,2,1,0
