Risk_Factor,Condition,Weight,Gender_Specific_Risk,Lifestyle_Profile,Risk_Score,Recommendation
Smoking,Lung Disease,High,Male,Moderately Active,3,Regular screening advised
Male >45,Cardiac Risk,High,Male,Active,2,Lifestyle modification needed
Sedentary Lifestyle,Diabetes,High,Both,Moderately Active,9,Preventive intervention suggested
Sedentary Lifestyle,Cardiovascular Risk,High,Male,Moderately Active,7,High-risk monitoring required
Alcohol Use,Liver Disease,Medium,Female,Active,2,Preventive intervention suggested
Smoking,COPD,High,Both,Sedentary,1,Preventive intervention suggested
Male >45,Cardiac Risk,High,Female,Active,9,High-risk monitoring required
Poor Diet,Obesity,High,Both,Active,1,Lifestyle modification needed
Alcohol Use,Liver Disease,High,Male,Smoker,5,Preventive intervention suggested
Family History,Cancer Risk,Medium,Male,Sedentary,2,Periodic diagnostic assessment
Obesity,Heart Disease,High,Male,Smoker,7,High-risk monitoring required
Male >45,Cardiac Risk,High,Male,Moderately Active,1,High-risk monitoring required
High Cholesterol,Heart Disease,Low,Both,Sedentary,4,Preventive intervention suggested
High Cholesterol,Stroke,Medium,Female,Moderately Active,4,Periodic diagnostic assessment
Male >45,Prostate Risk,High,Female,Alcohol Consumer,7,High-risk monitoring required
Sedentary Lifestyle,Obesity,Medium,Male,Active,2,Lifestyle modification needed
Obesity,Heart Disease,Medium,Male,Smoker,7,Periodic diagnostic assessment
Female Pregnancy,Hypertension,Medium,Both,Active,2,Periodic diagnostic assessment
Alcohol Use,Pancreatitis,Medium,Female,Smoker,3,Preventive intervention suggested
Age > 50,Hypertension,High,Female,Alcohol Consumer,3,Periodic diagnostic assessment
Smoking,Cancer Risk,Medium,Both,Alcohol Consumer,10,Lifestyle modification needed
Obesity,Hypertension,High,Both,Alcohol Consumer,1,Periodic diagnostic assessment
Family History,Diabetes,Low,Female,Sedentary,4,Regular screening advised
Sedentary Lifestyle,Diabetes,High,Male,Smoker,2,Periodic diagnostic assessment
