Drug,Disease,Dosage,Side_Effects,Contraindications,Drug_Category,General_Precaution,Administration_Route,Population_Group,Risk_Level,Disclaimer
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Oral,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Oral,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Oral,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Oral,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Oral,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Oral,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Oral,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Oral,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Oral,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Oral,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Oral,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Oral,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Oral,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Oral,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Oral,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Oral,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Supportive,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Supportive,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Supportive,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Supportive,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Supportive,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Supportive,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Supportive,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Supportive,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Supportive,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Supportive,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Supportive,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Supportive,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Supportive,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Supportive,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Supportive,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Supportive,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Inhalation,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Inhalation,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Inhalation,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult,Take after food,Inhalation,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Inhalation,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Inhalation,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Inhalation,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Pediatric,Take after food,Inhalation,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Inhalation,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Inhalation,Low,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Inhalation,Moderate,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,General,Take after food,Inhalation,Moderate,Non-prescriptive use
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Inhalation,Low,Informational only
Paracetamol,Fever,250mg,Nausea,Liver issues,Analgesic,Adult/Pediatric,Take after food,Inhalation,Low,Non-prescriptive use
