Symptom,Duration,Interpretation,Recommended_Action,Temporal_Pattern,Severity_Flag
Fever,<1 day,Likely Viral,Home monitoring,Early stage pattern,Low
Fever,<1 day,Likely Viral,Home monitoring,Early stage pattern,Moderate
Fever,<1 day,Likely Viral,Home monitoring,Early stage pattern,High
Fever,<1 day,Likely Viral,Home monitoring,Subacute progression,Low
Fever,<1 day,Likely Viral,Home monitoring,Subacute progression,Moderate
Fever,<1 day,Likely Viral,Home monitoring,Subacute progression,High
Fever,<1 day,Likely Viral,Home monitoring,Persistent warning sign,Low
Fever,<1 day,Likely Viral,Home monitoring,Persistent warning sign,Moderate
Fever,<1 day,Likely Viral,Home monitoring,Persistent warning sign,High
Fever,<1 day,Likely Viral,Home monitoring,Possible chronic evolution,Low
Fever,<1 day,Likely Viral,Home monitoring,Possible chronic evolution,Moderate
Fever,<1 day,Likely Viral,Home monitoring,Possible chronic evolution,High
Fever,<1 day,Likely Viral,Home monitoring,Acute onset requiring review,Low
Fever,<1 day,Likely Viral,Home monitoring,Acute onset requiring review,Moderate
Fever,<1 day,Likely Viral,Home monitoring,Acute onset requiring review,High
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Early stage pattern,Low
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Early stage pattern,Moderate
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Early stage pattern,High
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Subacute progression,Low
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Subacute progression,Moderate
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Subacute progression,High
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Persistent warning sign,Low
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Persistent warning sign,Moderate
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Persistent warning sign,High
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Possible chronic evolution,Low
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Possible chronic evolution,Moderate
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Possible chronic evolution,High
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Acute onset requiring review,Low
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Acute onset requiring review,Moderate
Fever,<1 day,Likely Viral,Repeat assessment in 24 hrs,Acute onset requiring review,High
Fever,<1 day,Likely Viral,Basic lab screening suggested,Early stage pattern,Low
Fever,<1 day,Likely Viral,Basic lab screening suggested,Early stage pattern,Moderate
Fever,<1 day,Likely Viral,Basic lab screening suggested,Early stage pattern,High
Fever,<1 day,Likely Viral,Basic lab screening suggested,Subacute progression,Low
Fever,<1 day,Likely Viral,Basic lab screening suggested,Subacute progression,Moderate
Fever,<1 day,Likely Viral,Basic lab screening suggested,Subacute progression,High
Fever,<1 day,Likely Viral,Basic lab screening suggested,Persistent warning sign,Low
Fever,<1 day,Likely Viral,Basic lab screening suggested,Persistent warning sign,Moderate
Fever,<1 day,Likely Viral,Basic lab screening suggested,Persistent warning sign,High
Fever,<1 day,Likely Viral,Basic lab screening suggested,Possible chronic evolution,Low
Fever,<1 day,Likely Viral,Basic lab screening suggested,Possible chronic evolution,Moderate
Fever,<1 day,Likely Viral,Basic lab screening suggested,Possible chronic evolution,High
Fever,<1 day,Likely Viral,Basic lab screening suggested,Acute onset requiring review,Low
Fever,<1 day,Likely Viral,Basic lab screening suggested,Acute onset requiring review,Moderate
Fever,<1 day,Likely Viral,Basic lab screening suggested,Acute onset requiring review,High
Fever,<1 day,Likely Viral,Consider physician evaluation,Early stage pattern,Low
Fever,<1 day,Likely Viral,Consider physician evaluation,Early stage pattern,Moderate
Fever,<1 day,Likely Viral,Consider physician evaluation,Early stage pattern,High
Fever,<1 day,Likely Viral,Consider physician evaluation,Subacute progression,Low
Fever,<1 day,Likely Viral,Consider physician evaluation,Subacute progression,Moderate
Fever,<1 day,Likely Viral,Consider physician evaluation,Subacute progression,High
