disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Acute Respiratory Syndrome 1,Acute Respiratory Syndrome 1 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Viral,Infectious,Low,Acute Onset May Resolve With Care,Organ Dysfunction,Common,Medication
Chronic Respiratory Syndrome 2,Chronic Respiratory Syndrome 2 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Bacterial,Cardiovascular,Moderate,Progressive Condition Needing Monitoring,Secondary Infection,Uncommon,Lifestyle
Autoimmune Respiratory Syndrome 3,Autoimmune Respiratory Syndrome 3 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Genetic,Neurology,High,Chronic Condition Requiring Long-Term Management,Inflammation Complications,Rare,Diagnostics
Idiopathic Respiratory Syndrome 4,Idiopathic Respiratory Syndrome 4 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Lifestyle,Endocrine,Critical,Potentially Severe If Untreated,Metabolic Imbalance,Common,Specialist Referral
Primary Respiratory Syndrome 5,Primary Respiratory Syndrome 5 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Autoimmune,Respiratory,Low,Acute Onset May Resolve With Care,Neurological Complications,Uncommon,Medication
Secondary Respiratory Syndrome 6,Secondary Respiratory Syndrome 6 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Unknown,Gi,Moderate,Progressive Condition Needing Monitoring,Organ Dysfunction,Rare,Lifestyle
Progressive Respiratory Syndrome 7,Progressive Respiratory Syndrome 7 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Metabolic,Renal,High,Chronic Condition Requiring Long-Term Management,Secondary Infection,Common,Diagnostics
Congenital Respiratory Syndrome 8,Congenital Respiratory Syndrome 8 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Environmental,Autoimmune,Critical,Potentially Severe If Untreated,Inflammation Complications,Uncommon,Specialist Referral
Inflammatory Respiratory Syndrome 9,Inflammatory Respiratory Syndrome 9 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Viral,Infectious,Low,Acute Onset May Resolve With Care,Metabolic Imbalance,Rare,Medication
Metabolic Respiratory Syndrome 10,Metabolic Respiratory Syndrome 10 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Bacterial,Cardiovascular,Moderate,Progressive Condition Needing Monitoring,Neurological Complications,Common,Lifestyle
Acute Cardiac Syndrome 11,Acute Cardiac Syndrome 11 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,Genetic,Neurology,High,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,Uncommon,Diagnostics
