disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Acute Respiratory Syndrome 1,Acute Respiratory Syndrome 1 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Organ Dysfunction,0,2
Chronic Respiratory Syndrome 2,Chronic Respiratory Syndrome 2 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Secondary Infection,2,1
Autoimmune Respiratory Syndrome 3,Autoimmune Respiratory Syndrome 3 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Inflammation Complications,1,0
Idiopathic Respiratory Syndrome 4,Idiopathic Respiratory Syndrome 4 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Metabolic Imbalance,0,3
Primary Respiratory Syndrome 5,Primary Respiratory Syndrome 5 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Neurological Complications,2,2
Secondary Respiratory Syndrome 6,Secondary Respiratory Syndrome 6 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Organ Dysfunction,1,1
Progressive Respiratory Syndrome 7,Progressive Respiratory Syndrome 7 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Secondary Infection,0,0
Congenital Respiratory Syndrome 8,Congenital Respiratory Syndrome 8 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Inflammation Complications,2,3
Inflammatory Respiratory Syndrome 9,Inflammatory Respiratory Syndrome 9 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Metabolic Imbalance,1,2
Metabolic Respiratory Syndrome 10,Metabolic Respiratory Syndrome 10 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Neurological Complications,0,1
Acute Cardiac Syndrome 11,Acute Cardiac Syndrome 11 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,2,0
Chronic Cardiac Syndrome 12,Chronic Cardiac Syndrome 12 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Secondary Infection,1,3
Autoimmune Cardiac Syndrome 13,Autoimmune Cardiac Syndrome 13 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Inflammation Complications,0,2
Idiopathic Cardiac Syndrome 14,Idiopathic Cardiac Syndrome 14 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Metabolic Imbalance,2,1
Primary Cardiac Syndrome 15,Primary Cardiac Syndrome 15 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Neurological Complications,1,0
Secondary Cardiac Syndrome 16,Secondary Cardiac Syndrome 16 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Organ Dysfunction,0,3
Progressive Cardiac Syndrome 17,Progressive Cardiac Syndrome 17 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Secondary Infection,2,2
Congenital Cardiac Syndrome 18,Congenital Cardiac Syndrome 18 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Inflammation Complications,1,1
Inflammatory Cardiac Syndrome 19,Inflammatory Cardiac Syndrome 19 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Metabolic Imbalance,0,0
Metabolic Cardiac Syndrome 20,Metabolic Cardiac Syndrome 20 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Neurological Complications,2,3
Acute Neurological Syndrome 21,Acute Neurological Syndrome 21 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Organ Dysfunction,1,2
Chronic Neurological Syndrome 22,Chronic Neurological Syndrome 22 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Secondary Infection,0,1
Autoimmune Neurological Syndrome 23,Autoimmune Neurological Syndrome 23 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Inflammation Complications,2,0
Idiopathic Neurological Syndrome 24,Idiopathic Neurological Syndrome 24 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Metabolic Imbalance,1,3
Primary Neurological Syndrome 25,Primary Neurological Syndrome 25 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Neurological Complications,0,2
Secondary Neurological Syndrome 26,Secondary Neurological Syndrome 26 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Organ Dysfunction,2,1
Progressive Neurological Syndrome 27,Progressive Neurological Syndrome 27 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Secondary Infection,1,0
Congenital Neurological Syndrome 28,Congenital Neurological Syndrome 28 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Inflammation Complications,0,3
Inflammatory Neurological Syndrome 29,Inflammatory Neurological Syndrome 29 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Metabolic Imbalance,2,2
Metabolic Neurological Syndrome 30,Metabolic Neurological Syndrome 30 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Neurological Complications,1,1
Acute Renal Syndrome 31,Acute Renal Syndrome 31 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,5,6,3,Chronic Condition Requiring Long-Term Management,Organ Dysfunction,0,0
Chronic Renal Syndrome 32,Chronic Renal Syndrome 32 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,2,0,4,Potentially Severe If Untreated,Secondary Infection,2,3
Autoimmune Renal Syndrome 33,Autoimmune Renal Syndrome 33 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,7,4,1,Acute Onset May Resolve With Care,Inflammation Complications,1,2
Idiopathic Renal Syndrome 34,Idiopathic Renal Syndrome 34 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,1,1,2,Progressive Condition Needing Monitoring,Metabolic Imbalance,0,1
Primary Renal Syndrome 35,Primary Renal Syndrome 35 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,3,5,3,Chronic Condition Requiring Long-Term Management,Neurological Complications,2,0
Secondary Renal Syndrome 36,Secondary Renal Syndrome 36 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,4,2,4,Potentially Severe If Untreated,Organ Dysfunction,1,3
Progressive Renal Syndrome 37,Progressive Renal Syndrome 37 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,0,7,1,Acute Onset May Resolve With Care,Secondary Infection,0,2
Congenital Renal Syndrome 38,Congenital Renal Syndrome 38 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.,6,3,2,Progressive Condition Needing Monitoring,Inflammation Complications,2,1
