feature,xgb_importance_score,shap_importance_score,correlation_ranking_score,mi_scores_score,unified_score,final_rank
blood_pressure,1.0,1.0,1.0,0.9998212542976921,0.999955313574423,1
fever,0.6971311,0.6971311,0.4472135954999579,0.4923807541065343,0.583464136059994,2
severity,0.0,0.0,1.0,1.0,0.5,3
duration,0.0,0.0,1.0,0.9998212542976921,0.499955313574423,4
duration_score,0.0,0.0,1.0,0.9998212542976921,0.499955313574423,5
cough,0.0,0.0,0.4472135954999579,0.5079035233977981,0.23877927972443902,6
temporal_risk_score,0.0,0.0,0.4472135954999579,0.5070594787621979,0.23856826856553898,7
symptom_risk_interaction,0.00090115186,0.00090115186,0.4290708820604901,0.5233382785160493,0.2385528660721058,8
difficulty_breathing,0.0,0.0,0.4472135954999579,0.504333977402519,0.23788689322561923,9
gender,0.0,0.0,0.4472135954999579,0.503524271526467,0.2376844667566062,10
fatigue,0.0,0.0,0.4472135954999579,0.5027178784300382,0.23748286848249905,11
symptom_count,0.0,0.0,0.4472135954999579,0.49421691261756884,0.23535762702938168,12
risk_factor_count,0.0,0.0,0.2326600767409032,0.054230564692819075,0.07172266035843057,13
weight_max,0.0,0.0,0.2326600767409031,0.04164714389623682,0.06857680515928498,14
diff_possible_disease_count,0.0,0.0,0.17282446510829058,0.05577055528179468,0.05714875509752131,15
diff_symptom_count,0.0001495798,0.0001495798,0.17282446510829066,0.023582233761147185,0.0491764646203697,16
composite_risk_score,0.0,0.0,0.010429263853577215,0.023683634842395312,0.008528224673993131,17
age,1.345365e-07,1.345365e-07,0.009676556123050442,0.0,0.0024192062990158005,18
age_severity_interaction,0.0,0.0,0.009676556123050442,0.0,0.0024191390307626106,19
cholesterol,0.0,0.0,0.004348288960139238,0.0,0.0010870722400348094,20
secondary_disease,0.0,0.0,0.0017295376562892506,0.0,0.00043238441407231264,21
severity_index,0.0,0.0,,0.0009279765047275152,0.00030932550157583837,22
risk_type_list,0.0,0.0,,0.0,0.0,23
